Water Volume,Temperature,Rainfall
0,10.9,294
22.7,10.3,212
0.1,9,302
0.1,9.5,287
0,10.3,227
0.4,7.4,237
0.1,10.2,324
0,9.9,280
0,8.6,219
0.1,7.6,280
0,7.6,264
0,8.1,229
0,7.9,241
0,7.7,234
8,8.7,246
11.4,4.7,150
0.2,4.9,280
0,8,219
0.1,9.3,291
0.3,10.2,294
0,10,0
0,10.8,0
0.3,9.9,0
0,9,258
0,10.7,235
0.1,9.7,289
3,7,204
0.1,7.1,420
0,7,275
0,7.9,205
0.1,7.2,0
1.2,7.7,418
8.9,6.2,231
0,3.3,231
0,3.5,228
0,2.9,278
0,8.2,205
0.3,9,214
0,7.1,269
0,4.3,245
0,4.6,244
0,6.8,238
0,6.3,295
0,3.9,221
0,6,228
0,8.1,237
0,7.1,250
0,9.9,290
0,8.9,406
0,7.6,432
0,10.4,264
0,8.3,269
0,8.2,261
0,10.8,261
0,12.6,298
0,12.6,286
0,9.4,248
0.2,8.7,248
0,10.2,236
0.1,9.5,0
0.1,10,0
0.2,9.4,241
0.2,10.3,241
29.7,11.3,238
6.6,8.5,196
0.1,9.1,219
0.3,9.8,240
0.3,11.9,220
0,14.7,0
0,16.5,0
0,15.2,319
0,16.1,229
0,14,235
0,14.7,250
0,17.9,245
0,13.2,249
0.6,10.1,272
11.9,8.5,256
0.2,7.2,211
0.1,10.8,227
0,10.2,273
0,8.6,254
0,14.1,279
0,18.1,267
0,17.4,319
0,17.8,0
0,19.2,0
0,18.5,316
0,17.6,292
0,17.8,326
0,14.3,326
0,13.7,374
0.8,12.3,295
0,12.8,380
0,10.5,253
0.1,9.3,258
2.8,6.2,257
0.8,8,270
0.2,8.6,290
0,12.7,245
3.6,13.4,245
13,10.1,213
11.7,9.9,216
0.3,9.4,229
35,9.3,310
6.5,7.9,308
0.1,8.8,260
0,10.4,397
8.1,9.1,278
35,9.4,233
25.7,10.4,233
18.1,12,228
9.7,10.6,250
6.5,10.2,210
1.4,9.3,211
12.4,10.8,210
26,9.6,214
6.4,8.9,231
0.2,9.5,252
9,8.2,251
7.7,7.6,209
3.9,9.2,208
9.4,10.6,206
54.4,11.6,208
25.1,11.7,210
25.8,11.1,224
4.8,11.7,256
0.1,12.2,206
63.8,14.9,237
0.1,16,237
0.1,18.8,257
0.1,22.2,244
0,21.3,248
0,21,293
0,18.9,253
0.2,15.9,262
0.1,21.5,291
0,22.8,302
0,14.8,311
9.6,12.7,289
11.7,10.6,253
1.6,10.1,203
0.8,13,233
0.3,15.3,224
0,20.2,251
0.1,19.4,246
1.3,14.1,275
0.2,13.4,385
0.3,13.7,233
0.2,14.7,285
0.1,16.3,228
0.1,20.2,272
0,25.8,291
0.3,21.3,288
4.3,16.2,362
0.1,16.7,241
0,18.5,317
2.5,17.8,249
11.5,17.1,234
0.3,14.3,210
0.1,13.7,298
14.9,16.4,250
9.5,15.7,206
2.1,14,218
0.2,13.5,236
0.4,15,245
0.2,15.3,259
1.1,17.8,251
0.3,16.5,272
3.7,15.6,210
0.3,14.2,256
0.3,14,244
25.6,16,241
0.3,14.5,234
0.5,15.8,271
0.2,18.3,323
0,22.9,268
0,26.2,505
0,27.8,368
0,20.6,334
0.1,17.3,241
12.7,16.3,299
0.3,14.1,295
0.2,15.5,262
0,17.5,289
0,18.4,284
0.4,15.7,258
0,15.7,297
4.8,16.8,354
0.6,14.7,311
0.1,17.3,280
0,15.8,266
0.1,15.1,290
0.2,15.2,304
0,15.9,338
2.6,16.4,292
0.2,15.6,330
0,20.6,339
0,28.5,398
0,28.3,448
0,22.8,448
0,18.3,329
0.2,18,719
0,21.4,802
0.2,20.9,539
0.1,20.3,340
0,20.6,349
2.2,21.2,333
0.2,19,280
0.1,17.6,321
0.3,18.2,381
0.1,17.7,302
0.1,18.6,327
0.1,16.8,309
0.7,18.4,317
0.1,17.6,550
0.2,18,239
0,18.4,446
0.3,15.1,327
0.1,17,347
0,21.6,368
0,21.7,655
0,23.5,270
0,20.1,173
0.2,19.1,418
0.2,17.2,396
0.3,19.8,377
24.6,18.9,301
0.1,16.2,293
0.2,18.1,335
0,18.8,331
0,20.9,368
0,21.6,336
0.1,21.4,344
0,18.4,309
0,19.9,345
0,16.5,305
13.2,17.4,299
0.4,16.8,295
0.3,17.4,262
3.3,18.5,266
2.3,16,302
0.3,16.5,267
0,19.9,306
0,23.2,341
0,24.1,351
0,23.8,284
0,24.1,330
0,24.1,310
0,25.2,323
0,24.4,339
0,22,359
0,19.6,357
0.1,17.7,332
0.2,18.1,320
0.3,20.5,328
0.1,20.7,332
0,21.9,317
0,23.7,323
0,23.3,386
0,19,290
0,19.5,292
0,20.6,298
0,21.7,336
0.1,19.4,319
0,17.8,320
13.2,21.5,396
28.5,15.9,230
6,15.1,236
48,12.5,220
0.1,13.2,244
3.4,16.1,223
0.1,15.6,276
0.1,18.9,282
0.2,16.6,231
0.2,14.6,250
0.2,15.7,251
0.4,14.2,476
0.3,17.2,773
0,19.9,817
0,18.1,832
0,18.7,741
0.3,19.2,462
6.5,17.8,634
14.5,18.1,252
3,14.5,246
0.4,12.2,265
8.6,14.1,286
2.2,11.2,219
0,13.5,235
34.6,15.4,248
21.7,12.5,337
1.9,8.8,630
2.8,11,258
0.3,12,288
2,15.9,231
7.9,18.4,236
0.2,21.4,251
20,16.3,241
18.3,15.1,253
4.1,13.8,249
0.1,13.6,292
0,9.8,263
16.4,11.9,212
2.1,8.9,252
5.5,11.4,255
13.1,12.5,229
0,15.5,264
15.6,13,285
4.8,8.7,261
4.6,9.1,247
0,12.1,247
14.5,11.3,240
10.3,9.7,256
8.7,11.5,273
6.5,8.9,286
0.1,7.3,262
0,9.3,253
0,10.4,258
0,15.5,270
8.8,14.2,274
4.4,14.9,282
1,11.8,302
0.3,9.9,256
0,12.1,263
14.9,11,253
0.2,7.6,254
0,9.7,256
8.1,13.3,262
15.8,11.9,277
6.5,9.7,238
2.3,6,263
0.1,5.2,326
0.3,6,204
3,6.8,259
1,6,271
0.1,5.8,316
0.1,5.9,250
10.6,8.9,282
0.4,8.2,265
0,9.6,262
3.8,11,266
0.4,10.3,289
0,8.9,306
0,7.8,258
0.1,7,259
0.1,6.1,271
87.9,12.6,274
7.9,12.2,267
21.8,11.5,253
6.1,11.6,322
0.1,12.9,279
12.3,12.4,274
19.6,12.7,282
9.7,13,289
0.1,11.7,296
0.1,14.3,290
17,10.4,341
1.8,7.4,299
0.2,8,290
0.2,8.9,244
7.8,11.7,314
4,9,315
1.4,10.2,389
13.4,8.9,263
0.3,8.1,284
0.2,8.8,313
0,11.1,288
0,9.6,310
0,8.8,307
0.1,8.4,321
0,10,347
5.5,12,271
3.2,11.8,285
1.8,10.2,279
3.9,10.1,278
17.1,6.8,279
1.3,6,268
0.2,7.8,256
15.7,8.4,233
48.9,10.1,249
36.1,11.6,244
90.9,11.8,230
8,6.9,232
8.5,4.1,227
29.7,8.6,274
10.9,9.7,232
6.8,11.3,218
4.3,10.7,534
21.9,7.6,257
0,9.3,92
0.1,11.1,269
0.1,12.1,288
0,11.7,211
19.8,9.5,229
0.1,6,234
0.1,7.5,239
0.2,10.2,239
1,8.9,248
0.2,5.9,268
0.5,6.3,231
0.1,7,236
0,7.9,235
31.8,6.1,217
4.9,5.2,232
4.2,8.5,241
0.3,9.2,257
0.1,9.4,195
0.2,10,209
0,10,212
9.4,9.8,246
1.8,10.3,280
2.6,8.6,248
9.3,10.5,245
23.1,10.9,195
18.1,7.3,233
0.2,4.3,200
0.1,4.5,222
0,5.8,215
0.1,5.7,211
0,5.7,252
0,6,206
0,9.9,235
0,11.3,227
0,12.5,232
8.3,12.4,242
2.9,13.3,181
21.9,12.8,298
21.7,11,208
1.1,11,251
10.1,10.8,349
11.6,9.8,0
11.3,7.8,262
8.1,5.1,219
0.2,4.2,261
0,6.8,184
6.8,9.4,225
31.1,10.5,211
1.2,8.2,223
0.3,7.2,229
0.7,6.9,244
0,11.3,236
15.2,13.2,213
11.2,9.5,223
14.6,9.8,248
28.5,9.9,232
76.9,12.1,263
27,11.9,172
12.8,11.6,264
67.5,12.1,206
23.3,12.3,240
2.1,12.3,204
24.3,11.6,233
13.2,9.7,234
5.6,12.1,263
15.3,10,260
7.7,9.3,235
0,6.5,228
0,7.9,202
7.2,8.4,234
11.8,10.3,224
0.7,11.5,252
26,12.8,289
13.2,11.1,209
0.9,11.3,218
0.4,13.1,235
0.3,14.7,236
0.1,11.5,214
0.2,14.1,253
0,14.4,291
0.1,12,234
0,15.7,238
0,14.8,321
0,14,280
0,16.4,259
0,18,248
0,17.8,320
0,16.1,269
0,13.1,270
0,8.7,279
0,9.5,280
5.2,9.5,308
0.1,10.3,254
0,12.6,320
0,14.7,255
0,15.9,250
0,16.2,233
0,15.2,329
2.3,14.5,295
0,16.1,266
14.1,14.3,332
0.6,11.6,270
0.3,12.2,249
0.2,13.5,247
0,18.2,240
0,18.2,254
8.4,12.2,265
0.1,10.5,320
24.7,8.7,306
2,8.2,279
1.5,8.9,251
0.3,8.9,253
0.1,11.7,237
0,13.3,253
0.3,15.2,298
0,16.8,243
0,16.4,253
0,14.8,270
0,11.4,320
3.3,11.9,307
1,10.6,289
7.7,9.7,334
0.2,13.4,255
0.1,17,293
0,20,268
0,20.8,244
0,21,254
0,18.7,277
0,15.2,351
0,12.6,297
15.9,11.8,316
6.1,12.2,311
1.6,12.9,294
0,13.7,276
0.2,15.8,280
0,16.6,313
0.2,15.9,239
0,15.3,262
0.1,15.3,295
7.8,14.7,273
31.6,11.8,304
0.1,14.6,285
0,14.3,390
0.5,15.6,322
0.2,15.4,238
0.2,17.7,270
0,21.8,383
0,25.1,308
0,27.2,325
0,25.9,374
0,24.7,406
0,26.2,403
0,28.1,317
0,25.1,388
0.4,18.8,409
0.1,17.5,330
0.1,25.5,445
0,30.6,453
0,30.7,369
0,30,298
0,29.3,383
0,27.1,421
0,24.1,511
0,19.2,486
0.1,19.7,494
0,18.8,441
0.1,17.7,484
0,19.1,395
0,19.6,362
0,19.3,381
0,20.3,393
0,19.7,408
0,17.7,428
0,17.9,313
0.1,17.1,362
0,17,433
0,19.2,329
0,20.9,454
0.1,17.5,352
0,17.5,379
5,17.5,410
1.1,16.5,409
0.1,17.9,391
0.1,21.8,462
0.1,19.7,422
1.6,20,343
0.2,17,421
0.1,17.2,379
0,19.4,399
0,19,437
0,17.2,432
0.5,15.8,501
0,21.6,452
0,25.6,436
0,27.4,445
0,22.8,402
0,20.6,427
0,24.8,371
0,24.8,461
0.1,20.3,416
0.1,18.3,415
0.1,20,414
0,22.6,480
0,24.1,372
0,23.9,381
0,19.3,399
0,18.7,321
0.2,19.4,385
0,23,370
0,21.5,324
0,23.9,390
0,23.6,319
0,24.9,420
0,23.5,309
0,22.8,339
0,24.6,335
0,25.4,344
0,24.4,366
0,24.3,508
7.1,23.1,370
0.1,18.9,376
0.1,18.6,350
0,17.7,308
0,20.9,409
0,24.6,253
0,22.9,316
0,22.8,321
0.1,20.7,288
0,19.7,324
0.2,18.5,305
0.1,19.1,347
0,19.4,344
0,23.4,389
0,25.7,398
0,25.5,373
0,24.8,324
0,21.4,274
0,20,358
1.5,17.6,354
0.2,18.6,378
0,16.4,428
0,19.3,297
0,18.4,323
0,19.1,298
0,19,277
0.4,17.5,311
0.2,13.9,230
12.1,13.7,292
0,15.6,232
11.3,18,237
0,15.8,242
0.2,13.2,250
0.2,12.1,263
0,13.8,279
0,13.9,310
0,10.7,256
0,9.1,265
0.1,8.3,278
0.4,8,276
0,8.4,280
0,8.4,292
0.2,6.4,293
0,7.8,233
0,9.8,252
0,7.5,253
0,7.8,250
0,9.6,279
0,9.2,258
0,8,487
0,7.5,286
0,7.3,265
0,8,274
0,9.2,251
0,7.7,244
0,8.6,275
0,10.8,294
0,10.3,309
0,7.9,236
0,8.1,210
0,6.4,244
0,8.9,266
0,12.4,261
3.8,13.8,261
13.3,13.8,251
0.1,10.3,368
0,11.4,230
3.5,11.3,256
1.2,11.9,236
0,8.7,232
0,15.9,272
0,16.7,426
0.1,18,266
0,18.9,230
0,20.4,246
0.1,18.1,232
0,16.5,241
0,16,288
0.1,21.8,256
0.1,9,239
0.1,6.4,198
0.1,6.7,243
0,7,258
16.8,7.1,234
1.5,7.8,275
0.1,7.1,223
4.8,8.1,140
0.1,9.5,365
0.1,9.7,259
0.2,7.8,255
0.1,8.4,246
0.1,10,244
0,11.5,226
0,7.8,239
0,5.6,251
0,5.3,258
0,9.2,244
0,8.5,265
7,10,291
0.8,9.9,245
0,9.2,260
0,9.4,267
0,8.1,292
0,10.2,279
0,7.9,254
0,9.1,298
0,7.6,230
0,7.3,286
0.1,9.2,195
0.1,7.9,246
0,8.1,247
0,7.6,273
0,8.1,336
0,6.7,310
0,5.9,348
8.5,7.1,401
0.4,10.6,349
36.4,9,401
3,8.1,403
15.6,9.4,403
5.4,8.3,346
4.4,10.3,345
2.2,6.9,422
2.6,4.3,362
1.1,7,368
0.2,5.8,416
0,6,388
0,4.8,349
0,6.8,354
0,7.9,392
2.8,7.6,390
30.4,8.9,354
72.4,8.4,303
4,7.9,416
16,7.8,391
14.9,9.9,384
5.5,11.3,286
0.1,10.7,242
0.2,4.2,239
0,6.3,291
0,8.1,228
0,4.7,285
2.1,2.9,228
0,3.4,188
7.9,3.7,245
21.7,5.2,246
0.2,6.8,238
0.7,8.1,266
0,8.8,229
0,8.9,227
0,9.7,224
11.5,9.1,235
0,7.9,220
5.8,9,225
6.8,9.6,274
0.9,9.7,237
0.5,9.6,214
2.1,7.7,214
1.5,9.9,262
4.7,7.8,231
6.6,7.7,263
1.7,9.9,271
1.6,9.7,220
0.1,9.2,287
0,10.7,214
0,11.6,229
0,11.2,232
0,10.8,247
0,13.4,305
0.4,12.2,242
0,13.4,222
0,15.5,338
0,15.1,269
0,11.6,207
0,9.1,229
0,9.8,318
0.7,9.4,260
0.4,11,256
0,10.7,244
0,9.8,248
0,9.9,218
0,10.3,322
0.1,11.2,219
0,14.3,268
0,14.7,320
4.2,13,235
0.3,10.7,265
0.2,8.8,273
0,9.4,278
0.1,8.7,337
0.1,10.3,250
0,10.7,269
0,10.6,323
0,10.3,482
0,12.2,29
0.9,15.4,278
0.7,20.8,319
2.5,19.9,257
0.1,19.5,302
0,20.5,241
0,16.4,263
2.9,12.6,255
4,12.4,331
9.1,11.2,285
3.4,15.3,248
3.7,17.7,262
5.1,19,248
0.1,17.4,270
0,13,273
2,12,265
0.8,11.2,315
1,9.6,240
3.9,10.7,265
26.5,12.8,246
4.4,15.1,254
0.1,11.5,254
0.1,14,243
0,13.4,271
6.7,13.4,235
13.7,11.4,248
2.2,11.3,246
32.9,10.5,266
27,13.6,284
1.2,14.6,304
0,15.1,324
8.5,15.2,285
0.1,15.4,278
0.1,12.6,250
0,10.7,301
0,14.5,324
0,15.9,297
0,13.9,327
0,16.3,252
0,17.8,308
0,20.8,264
0,18.6,261
0,16.1,245
0,12.4,302
0,16.3,286
0,22.3,291
0,23.1,262
0,16.8,229
0,13.7,263
0,14.7,302
0,17.7,308
0,18.1,354
0,19.9,295
0,20.3,294
0,21.4,284
0,23,290
0,23.8,292
0.3,22.3,307
0,18.9,329
0,16,287
0,17.7,293
0,14.5,289
0.9,16.5,614
3.9,19.9,386
0,18.5,232
0,20.3,408
0,24.3,293
3.5,25,283
22.2,23.5,252
3,21.5,258
0,16.3,285
0,13.8,276
0,13.1,330
0,12.8,300
0,13.3,277
0,15.3,231
1.1,19.5,276
0,23.9,270
0,25.1,310
0,27.4,362
0,28.2,299
0,23.2,323
0,16.4,292
0,15.1,313
0,17.5,331
0.2,18.3,296
0.1,19.7,335
0.4,22.2,286
0,21,299
0,21.8,327
0,18.5,330
0,16.8,336
0.1,17.2,343
0,18.6,395
0,19.4,323
0,18.5,337
0,19.3,386
0,19.8,326
0.1,22.8,232
0.1,21.1,342
0,17.2,305
0.3,17.7,258
0,19.4,226
0,20.9,368
0,21.1,270
0,19.3,304
0,20.7,304
0,21.6,290
1.2,18.4,278
0.9,20.1,241
0.1,21.7,225
0,19.8,256
0,20.1,284
0,19.9,280
0,16.4,306
0,19.9,256
0,21.4,274
0,18.5,274
0,20.7,277
0,18.3,314
0,19.5,325
0,17.5,366
0,19.6,305
0,19.3,330
0.9,17.9,333
0,24.3,262
0,26.1,531
0.2,21.3,174
3.7,18.1,470
12.3,17.3,0
0,23.1,368
0,23.1,250
1.2,20.1,306
1.5,16.2,311
0.1,15.1,292
0,15.2,364
0.4,18.7,307
0.1,20.2,319
0,20.3,345
0,20.2,366
0,23.2,375
0,22,374
0,18.6,255
0,17.5,301
0,16.4,275
0,17.2,304
2.4,16.7,317
0.2,19.2,340
0.2,20.1,328
0.1,21,340
12.1,17.8,308
13.8,15,280
94.7,14.8,325
12.1,16,302
0.3,16.1,343
0,14.9,320
0,14.9,358
0,17,288
0,13.5,392
0,12.9,349
0.1,16,352
0.2,19.6,397
0,19.2,358
0,18.2,344
0,19.2,298
0,17.3,303
0,15.8,304
0,17.2,295
9.7,20.7,318
25.3,17.8,320
20.3,15.1,329
1.2,16.8,337
0.1,15.2,313
0.1,18,311
0.1,19.9,321
4.5,17.2,265
10.8,12.8,314
0,12.5,353
0,14,150
0,17,327
0,16.7,332
0.1,16.9,184
25.7,18.5,340
18.6,17.1,312
0,15.6,330
0,17.2,301
0,19,301
0.3,16.9,259
0,14.5,207
3.7,18,126
10.7,17.7,388
15.2,14.7,274
25.1,17.2,150
10.3,16.3,297
2.6,14.9,204
5.3,16.4,278
0.1,12.8,302
0,11.8,308
34.1,14.3,115
18.2,15.8,342
7.3,16.2,177
9,13,394
0.2,17.5,139
0.1,13,344
0,15,267
0,15,261
0.2,16.5,156
0,16,257
9.7,19.4,239
0.5,16.2,180
2.9,12.3,264
0,12.2,259
0.2,12.6,284
0,14.2,225
0.2,7.5,278
0.1,6.8,112
0,7.1,624
0.1,10.4,313
0,9.9,263
0,10.9,315
0,10.9,219
0,10.5,225
0,9.7,343
0.1,10.1,225
0,13.4,260
9.2,15.1,311
0.1,14.4,330
0,12,233
0.1,11.9,285
0.1,13,194
0,13.8,253
13.5,10.9,240
12.8,11.4,209
0.4,10.2,264
0,11,293
1.5,12.4,131
0.1,13.5,302
12.5,15.8,232
0.5,16.5,276
0.1,16.2,87
0,16.5,289
1.2,14.8,213
0.3,9.1,319
0,9.1,154
0,12.1,237
10.4,12.4,217
24.1,13,198
0.1,12.3,266
20.1,14.3,269
0.4,14.7,232
21,10.3,164
1,12.7,228
104.8,10.6,223
40.6,10.5,284
10.1,9.9,242
29.8,10.8,223
11.1,12.4,216
25.3,8.6,278
42.1,5.6,207
26.9,11.9,182
3.7,13.5,151
0.9,10.1,404
22.6,11.7,286
0.3,11.2,240
0,7.9,266
0,8.7,248
6.1,11.9,181
1.4,7.3,241
7.9,8.9,331
2.5,8.4,169
128.9,7.7,341
45.8,10.1,246
13.5,11.8,248
0.1,12.9,253
0,11,266
8,6.3,310
0,5.8,192
0.1,6.5,247
0,5.5,297
0,5.5,241
0,7.4,237
1.1,11.8,354
22.7,11.1,293
20.6,9.8,284
31.2,9.6,301
3.8,8.7,255
0,9.4,305
0.1,3.7,250
0,5,344
1.3,6.1,226
1.8,8.9,251
13.2,10.4,290
2.8,8.4,213
5.8,8.9,332
0,6.8,240
2.2,5.5,280
9,7.9,218
0.4,7.3,313
0,8.1,175
0,7.4,250
0,8.3,242
0,10.3,189
3.2,10.1,284
0,11.6,234
2.2,10.8,268
18.6,9.5,193
8.7,8.9,308
2,9.4,216
3.1,9.8,218
0,7.5,100
0,8.8,282
0,9.4,258
3.9,9.9,157
10.6,10.5,236
21.8,10.5,305
46.1,11.7,185
0.4,9.6,332
11.4,10.7,287
0,11.8,251
0.5,11.9,227
9.3,7.9,193
13.7,7.7,197
4.3,12.4,285
9.5,9.3,186
12,8.6,216
47.3,7.2,276
46.3,9.7,263
7.4,10.5,204
1,13,305
6.3,12.1,242
2.6,12,212
2.7,11.3,320
7.6,10.9,163
0.8,16.8,342
0.1,13.1,329
0,13.2,144
0,11.8,227
0,13.5,216
0,12.5,324
0,15.4,153
0,14.6,307
0,13.3,253
0,11.6,254
0,13.1,255
0,13.5,96
5.1,15,431
16.3,17,139
0.1,18.6,274
0,22.9,246
0,20.2,243
0,14.3,252
0,12.6,308
0,14.3,282
0,15.1,276
4.8,13.9,268
0.1,14.7,239
0,15.1,194
0,15.2,309
0.8,17.8,308
0,16.6,333
0,19.5,227
1.8,20.4,273
0.5,17.9,287
10.3,15.5,207
20,17.8,317
0.3,18.8,277
0,15.8,316
0,14.5,212
0,12.5,280
0,13.9,252
0,13.9,272
0,17.3,246
0,20.1,232
0.1,22.2,346
0,23.4,215
0,19.9,350
0,18,242
0,17.5,278
0,21.5,216
0,23.4,274
0,23.8,269
0,17.5,140
0,17.8,272
0,17.2,281
0,22.5,332
0,22.3,368
0,26.8,375
0,26.7,365
0,25.8,303
0,24.8,271
0,22,279
0,19.7,324
0,19,237
0,19.9,249
0,21.8,349
0.3,26.5,256
0,28.4,226
0,26.8,285
0,22.1,295
0,24.4,249
0,25.9,154
0,23.7,241
1,17.9,280
0,18.4,319
0,21.8,284
0,22.3,256
0,20.3,256
0,17.8,241
0,24.5,278
0.4,29.1,259
0,29.9,128
0,26.7,282
0,25.1,376
0,24.9,104
0,25,267
0.1,23.8,281
0.8,23.2,306
2.6,17.8,222
0,17.1,310
0,18.1,302
0.4,16.7,248
0,18.9,293
0,16.7,323
0,17.6,208
